region,mapped_ift_class,squares,bulk_up_forecast,z3,forecast_area,reference_area,parcel_area_tot,r,group1,group2,group3,group,ownership,country
WS,TRANSITION,303,0,0,47759.91,40438.62886,168.41403229,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
WS,UNCERTAIN,124,0,0,34893.24,41633.36644,61.798525654,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
WS,WOODLANDEDGE,460,0,0,132181.28,116976.6139,121.29063184,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
NES,BROADLEAF,206,0,0,33366.73,45639.45137,97.396540343,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
NES,CONIFER,531,0,0,95222.02,126037.1584,359.73412042,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
NES,TRANSITION,217,0,0,31008.12,33464.03578,104.08260593,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
NES,UNCERTAIN,70,0,0,18812.03,25969.47552,29.236561107,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
NES,WOODLANDEDGE,429,0,0,122307.1,10217.30585,152.90667695,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
ES,BROADLEAF,174,0,0,30585.95,39084.17821,90.255134547,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
ES,CONIFER,272,0,0,46438.01,61283.95778,177.72229297,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
ES,TRANSITION,135,0,0,21987.42,20350.35385,74.142608669,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
ES,UNCERTAIN,35,0,0,10541.7,14739.07758,14.57193531,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
ES,WOODLANDEDGE,274,0,0,98896.63,65055.20129,86.739586219,0,Group1:                .,Group2: >=0 and <5%,No group3,"Group1:                .                               , Group2: >=0 and <5%                                                                  , No group3",PS,Scotland
