region,mapped_ift_class,squares,bulk_up_forecast,z3,forecast_area,reference_area,parcel_area_tot,r,group1,group2,group3,group,ownership,country
SELE,BROADLEAF,767,0,0,229553.93,262418.9076,448.66735417,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
SELE,CONIFER,232,0,0,41034.21,75876.57266,116.77115534,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
SELE,TRANSITION,91,0,0,18086.25,21801.509,34.396195185,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
SELE,UNCERTAIN,14,0,0,4579.88,5305.766622,7.3554540933,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
SELE,WOODLANDEDGE,615,0,0,355525.34,212088.8413,232.32139091,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
EE,BROADLEAF,264,0,0,99430.68,110343.8538,147.47547721,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
EE,CONIFER,96,0,0,19191.31,31490.6548,40.542071033,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
EE,TRANSITION,39,0,0,9239.04,10382.74294,13.643373194,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
EE,UNCERTAIN,11,0,0,4041.67,4008.249849,5.3530512103,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
EE,WOODLANDEDGE,271,0,0,216497.85,106531.8915,118.01702626,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,England
NS,BROADLEAF,87,0,0,24903.91,34727.81637,49.677016569,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
NS,CONIFER,187,0,0,55335.46,83192.06935,125.57016695,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
NS,TRANSITION,174,0,0,50305.13,51448.24894,108.04596308,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
NS,UNCERTAIN,76,0,0,37024.51,41236.77314,46.928814849,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
NS,WOODLANDEDGE,202,0,0,94853.67,84132.08068,59.566637403,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
WS,BROADLEAF,161,0,0,53674.49,73147.96956,84.542120093,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
WS,CONIFER,275,0,0,83368.63,130124.569,188.20367055,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
WS,TRANSITION,218,0,0,60411.16,56573.37256,135.04384478,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
WS,UNCERTAIN,97,0,0,39573.4,44395.01352,58.851273069,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
WS,WOODLANDEDGE,284,0,0,134316.33,117252.6033,78.262312695,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
NES,BROADLEAF,129,0,0,34221.73,46554.6259,62.660277765,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
NES,CONIFER,303,0,0,89598.4,125440.7248,203.61959615,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
NES,TRANSITION,165,0,0,35992.78,42636.63143,81.09944303,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
NES,UNCERTAIN,59,0,0,22360.24,25781.20449,35.524681667,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
NES,WOODLANDEDGE,286,0,0,123317.87,97525.14599,98.83408702,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
ES,BROADLEAF,120,0,0,30977.69,39808.04355,60.145925102,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
ES,CONIFER,154,0,0,41505.96,60496.57716,95.938025075,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
ES,TRANSITION,88,0,0,27384.78,26745.22843,51.826003853,0,Group1:                .,Group2: No storeys,No group3,"Group1:                .                               , Group2: No storeys                                                                   , No group3",PS,Scotland
